latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.862915,12.539912,54.0,0,GMT,GMT

time,precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),terrestrial_radiation (W/m²),pressure_msl (hPa),soil_temperature_0_to_7cm (°C)
2004-03-10T00:00,0.00,3,4.4,0.0,1021.8,3.3
2004-03-10T01:00,0.00,4,4.5,0.0,1021.9,2.9
2004-03-10T02:00,0.00,3,4.7,0.0,1021.7,2.5
2004-03-10T03:00,0.00,3,5.2,0.0,1021.7,2.2
2004-03-10T04:00,0.00,2,5.2,0.0,1021.6,1.9
2004-03-10T05:00,0.00,5,5.5,0.0,1021.4,1.7
2004-03-10T06:00,0.00,21,6.6,47.5,1021.8,1.6
2004-03-10T07:00,0.00,27,7.3,245.3,1022.0,3.1
2004-03-10T08:00,0.00,28,5.4,488.8,1022.2,6.0
2004-03-10T09:00,0.00,57,6.9,694.7,1022.5,7.9
2004-03-10T10:00,0.00,67,8.7,848.9,1022.8,9.3
2004-03-10T11:00,0.00,82,10.9,941.0,1022.7,9.4
2004-03-10T12:00,0.00,98,13.8,964.6,1022.3,9.6
2004-03-10T13:00,0.00,97,14.5,918.3,1022.0,9.8
2004-03-10T14:00,0.20,98,15.9,805.1,1021.8,9.4
2004-03-10T15:00,0.40,98,15.5,632.8,1021.6,9.2
2004-03-10T16:00,0.20,98,11.3,413.2,1021.4,8.7
2004-03-10T17:00,0.00,97,7.9,161.3,1021.2,8.2
2004-03-10T18:00,0.00,98,9.9,4.4,1020.8,7.6
2004-03-10T19:00,0.00,99,10.2,0.0,1020.9,7.2
2004-03-10T20:00,0.00,98,10.9,0.0,1020.9,6.9
2004-03-10T21:00,0.00,99,10.7,0.0,1020.8,6.8
2004-03-10T22:00,0.00,100,10.3,0.0,1020.4,6.7
2004-03-10T23:00,0.00,100,10.5,0.0,1019.7,6.7
2004-03-11T00:00,0.00,100,10.7,0.0,1019.7,6.7
2004-03-11T01:00,0.00,100,11.6,0.0,1019.2,6.7
2004-03-11T02:00,0.20,100,10.9,0.0,1018.6,6.7
2004-03-11T03:00,0.60,100,9.7,0.0,1017.9,6.6
2004-03-11T04:00,1.00,100,9.6,0.0,1017.1,6.5
2004-03-11T05:00,1.10,100,8.4,0.0,1016.1,6.4
2004-03-11T06:00,1.50,100,9.1,51.3,1015.7,6.3
2004-03-11T07:00,1.60,99,8.7,252.9,1015.4,6.5
2004-03-11T08:00,2.00,99,10.1,496.2,1014.8,6.8
2004-03-11T09:00,1.70,99,10.9,701.9,1014.0,6.9
2004-03-11T10:00,0.80,100,11.3,855.8,1013.1,7.3
2004-03-11T11:00,0.40,100,9.4,947.5,1012.4,7.5
2004-03-11T12:00,0.20,100,7.4,970.9,1011.9,7.7
2004-03-11T13:00,0.00,100,5.4,924.2,1011.7,8.5
2004-03-11T14:00,0.20,100,4.0,810.7,1011.8,8.8
